collected_at_utc,source,source_url,attribution,rate_type,origin,destination,lane,region,weight_break_kg,chargeable_kg,currency,usd_per_kg_min,usd_per_kg_max,usd_per_kg_mid,total_min_usd,total_max_usd,transit_min_days,transit_max_days,num_quotes,status,error,source_as_of
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,LHR,BOM-LHR,India-Europe,300.0,300.0,USD,8.45,10.076666666666666,9.263333333333334,2535.0,3023.0,1.0,8.0,1,ok,,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,LHR,BOM-LHR,India-Europe,1000.0,1000.0,USD,7.83,9.96,8.895,7830.0,9960.0,1.0,8.0,1,ok,,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,FRA,BOM-FRA,India-Europe,300.0,300.0,USD,7.95,8.25,8.1,2385.0,2475.0,4.0,8.0,1,ok,,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,FRA,BOM-FRA,India-Europe,1000.0,1000.0,USD,7.53,7.83,7.68,7530.0,7830.0,4.0,8.0,1,ok,,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,DXB,BOM-DXB,India-ME,300.0,300.0,USD,6.65,6.65,6.65,1995.0,1995.0,4.0,4.0,1,ok,,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,DXB,BOM-DXB,India-ME,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=DXB&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,HKG,BOM-HKG,India-Asia,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=HKG&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,HKG,BOM-HKG,India-Asia,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=HKG&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,SIN,BOM-SIN,India-Asia,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=SIN&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,SIN,BOM-SIN,India-Asia,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=SIN&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,ORD,BOM-ORD,India-NA,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=ORD&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,ORD,BOM-ORD,India-NA,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=ORD&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,PVG,BOM-PVG,India-Asia,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=PVG&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,PVG,BOM-PVG,India-Asia,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BOM&destination=PVG&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,DEL,LHR,DEL-LHR,India-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=DEL&destination=LHR&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,DEL,LHR,DEL-LHR,India-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=DEL&destination=LHR&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,DEL,FRA,DEL-FRA,India-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=DEL&destination=FRA&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,DEL,FRA,DEL-FRA,India-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=DEL&destination=FRA&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,DEL,DXB,DEL-DXB,India-ME,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=DEL&destination=DXB&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,DEL,DXB,DEL-DXB,India-ME,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=DEL&destination=DXB&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BLR,LHR,BLR-LHR,India-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BLR&destination=LHR&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BLR,LHR,BLR-LHR,India-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BLR&destination=LHR&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BLR,FRA,BLR-FRA,India-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BLR&destination=FRA&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BLR,FRA,BLR-FRA,India-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=BLR&destination=FRA&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,HKG,LHR,HKG-LHR,Asia-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=HKG&destination=LHR&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,HKG,LHR,HKG-LHR,Asia-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=HKG&destination=LHR&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,HKG,ORD,HKG-ORD,Asia-NA,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=HKG&destination=ORD&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,HKG,ORD,HKG-ORD,Asia-NA,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=HKG&destination=ORD&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,PVG,FRA,PVG-FRA,Asia-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=PVG&destination=FRA&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,PVG,FRA,PVG-FRA,Asia-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=PVG&destination=FRA&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,SIN,LHR,SIN-LHR,Asia-Europe,300.0,300.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=SIN&destination=LHR&loadtype=boxes&weight=300&quantity=1&length=60&width=60&height=60&format=json,
2026-08-27T16:01:43.835304+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,SIN,LHR,SIN-LHR,Asia-Europe,1000.0,1000.0,USD,,,,,,,,0,error,429 Client Error: Too Many Requests for url: https://ship.freightos.com/api/shippingCalculator?mode=air&origin=SIN&destination=LHR&loadtype=boxes&weight=1000&quantity=1&length=100&width=100&height=100&format=json,
