date,actual_freight_ppi,model_fitted_or_forecast,kind
2008-12-01,100.0,100.54444081346664,history
2009-01-01,97.7,99.5949534003535,history
2009-02-01,94.7,99.34018985822189,history
2009-03-01,91.4,98.90576064083261,history
2009-04-01,90.0,99.42531663958582,history
2009-05-01,90.6,99.04293737919144,history
2009-06-01,88.8,100.6812708729582,history
2009-07-01,89.2,101.43066922349095,history
2009-08-01,89.2,102.66561695176401,history
2009-09-01,89.4,101.9531672908791,history
2009-10-01,89.9,101.00198173747337,history
2009-11-01,92.7,102.07465668440204,history
2009-12-01,92.9,101.91317452046908,history
2010-01-01,96.8,102.24197301928048,history
2010-02-01,99.5,101.96686169936933,history
2010-03-01,99.4,101.78515589221973,history
2010-04-01,99.2,102.16226222055356,history
2010-05-01,99.4,102.7860646685306,history
2010-06-01,99.7,102.49466625409626,history
2010-07-01,100.2,102.57062101863902,history
2010-08-01,100.1,102.31144170676298,history
2010-09-01,99.7,102.24378346813972,history
2010-10-01,101.7,102.05945805746512,history
2010-11-01,102.0,102.7552019748578,history
2010-12-01,103.0,103.42685490857752,history
2011-01-01,104.0,103.99264747162181,history
2011-02-01,104.4,104.50220344385366,history
2011-03-01,108.1,105.59821218355428,history
2011-04-01,110.0,105.58950497655732,history
2011-05-01,111.2,106.52679122176465,history
2011-06-01,113.7,105.877500867139,history
2011-07-01,113.5,105.59174071035386,history
2011-08-01,113.1,106.00312927137244,history
2011-09-01,113.5,107.45331512702904,history
2011-10-01,114.1,107.85775624386855,history
2011-11-01,113.7,109.83299722039645,history
2011-12-01,116.2,110.33245511161998,history
2012-01-01,115.5,109.8649640409179,history
2012-02-01,115.6,109.01977847977881,history
2012-03-01,115.9,110.08038978291005,history
2012-04-01,116.4,110.7555362859545,history
2012-05-01,116.4,111.66254017884238,history
2012-06-01,116.3,111.37867533759356,history
2012-07-01,115.2,110.95494902155025,history
2012-08-01,115.4,112.09592933914115,history
2012-09-01,115.3,112.42137325915928,history
2012-10-01,117.0,111.45433812541104,history
2012-11-01,117.2,111.5528411190267,history
2012-12-01,116.9,110.98924247838342,history
2013-01-01,114.8,111.55837686124637,history
2013-02-01,114.7,112.05720469051063,history
2013-03-01,114.6,111.39423413040191,history
2013-04-01,114.0,111.09361023570459,history
2013-05-01,114.2,110.46650533674966,history
2013-06-01,114.0,112.45114270873454,history
2013-07-01,114.2,113.42273986838703,history
2013-08-01,114.2,115.69465681602553,history
2013-09-01,115.3,116.35173892738122,history
2013-10-01,116.4,114.97556533160919,history
2013-11-01,115.8,114.83544543415998,history
2013-12-01,116.8,115.0895342742602,history
2014-01-01,115.9,115.40723414968882,history
2014-02-01,115.8,115.43839579900806,history
2014-03-01,116.4,114.58711728124798,history
2014-04-01,116.1,114.36127432374933,history
2014-05-01,115.9,113.84459973058644,history
2014-06-01,115.1,113.75100715847057,history
2014-07-01,115.7,113.7699225001585,history
2014-08-01,115.6,114.61242094918697,history
2014-09-01,116.0,114.60359970309523,history
2014-10-01,115.4,113.66925828439634,history
2014-11-01,114.4,112.99902846899975,history
2014-12-01,116.6,112.02485582212431,history
2015-01-01,113.2,109.08052487651233,history
2015-02-01,112.1,108.38711675350771,history
2015-03-01,111.0,109.59827397709758,history
2015-04-01,113.7,108.73353623975646,history
2015-05-01,114.7,111.52209286198212,history
2015-06-01,115.1,110.95476346898612,history
2015-07-01,110.6,110.26613648433406,history
2015-08-01,109.8,109.44262494669108,history
2015-09-01,107.6,109.63783173881673,history
2015-10-01,113.4,108.44600137571679,history
2015-11-01,114.0,109.09214112588967,history
2015-12-01,114.8,107.74378181695764,history
2016-01-01,115.9,105.99347936354613,history
2016-02-01,114.2,105.54317951383827,history
2016-03-01,111.9,105.86631314794185,history
2016-04-01,110.7,105.63216761139468,history
2016-05-01,112.4,107.78893005623158,history
2016-06-01,107.3,109.3826861120833,history
2016-07-01,111.3,109.42161083058032,history
2016-08-01,109.7,107.73219346357148,history
2016-09-01,108.3,108.66294935295542,history
2016-10-01,107.5,109.16197245056702,history
2016-11-01,108.3,109.67832485319462,history
2016-12-01,111.6,110.01128957067719,history
2017-01-01,110.5,110.86517512930327,history
2017-02-01,107.6,110.47943896222874,history
2017-03-01,109.0,109.99526867733174,history
2017-04-01,108.4,108.86365377259352,history
2017-05-01,106.5,108.42273884151084,history
2017-06-01,110.8,108.01665329318458,history
2017-07-01,108.7,107.81054030683559,history
2017-08-01,109.4,108.92452805120874,history
2017-09-01,110.3,110.38985293194351,history
2017-10-01,111.2,110.80496549537807,history
2017-11-01,111.6,110.70423443757932,history
2017-12-01,112.3,111.03249107003319,history
2018-01-01,112.2,111.40203683552758,history
2018-02-01,112.7,112.29267679451766,history
2018-03-01,112.9,111.92053382122957,history
2018-04-01,110.9,112.67635175400281,history
2018-05-01,113.0,115.07607789434783,history
